,0,1,2,3,4
54,000070,GTRYZGDJZQC,国投瑞银中高等级债券C,债券型-混合债,GUOTOURUIYINZHONGGAODENGJIZHAIQUANC
55,000071,HXHSETFLJA,华夏恒生ETF联接A,QDII,HUAXIAHENGSHENGETFLIANJIEA
56,000072,HAWJHBHHA,华安稳健回报混合A,混合型-灵活,HUAANWENJIANHUIBAOHUNHEA
57,000073,STMGCZDLHHA,上投摩根成长动力混合A,混合型-灵活,SHANGTOUMOGENCHENGZHANGDONGLIHUNHEA
58,000074,GYXYCZYNDKZA,工银信用纯债一年定开债A,债券型-长债,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIA
59,000075,HXHSETFLJXH,华夏恒生ETF联接现汇,QDII,HUAXIAHENGSHENGETFLIANJIEXIANHUI
60,000076,HXHSETFLJXC,华夏恒生ETF联接现钞,QDII,HUAXIAHENGSHENGETFLIANJIEXIANCHAO
61,000077,GYXYCZYNDKZC,工银信用纯债一年定开债C,债券型-长债,GONGYINXINYONGCHUNZHAIYINIANDINGKAIZHAIC
62,000078,GYXYCZSGYDKZA,工银信用纯债三个月定开债A,债券型-长债,GONGYINXINYONGCHUNZHAISANGEYUEDINGKAIZHAIA
63,000079,GYXYCZSGYDKZC,工银信用纯债三个月定开债C,债券型-长债,GONGYINXINYONGCHUNZHAISANGEYUEDINGKAIZHAIC
64,000080,TZKZZZQZQA,天治可转债增强债券A,债券型-可转债,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANA
65,000081,TZKZZZQZQC,天治可转债增强债券C,债券型-可转债,TIANZHIKEZHUANZHAIZENGQIANGZHAIQUANC
66,000082,JSYJAEFGP,嘉实研究阿尔法股票,股票型,JIASHIYANJIUAERFAGUPIAO
67,000083,HTFXFHYHH,汇添富消费行业混合,混合型-偏股,HUITIANFUXIAOFEIHANGYEHUNHE
68,000084,BSAYZQA,博时安盈债券A,债券型-中短债,BOSHIANYINGZHAIQUANA
69,000085,BSAYZQC,博时安盈债券C,债券型-中短债,BOSHIANYINGZHAIQUANC
70,000086,NFWL1NDKZA,南方稳利1年定开债A,债券型-长债,NANFANGWENLI1NIANDINGKAIZHAIA
71,000087,JSZZJBGZETFLJA,嘉实中证金边国债ETF联接A,债券型-长债,JIASHIZHONGZHENGJINBIANGUOZHAIETFLIANJIEA
72,000088,JSZZJBGZETFLJC,嘉实中证金边国债ETF联接C,债券型-长债,JIASHIZHONGZHENGJINBIANGUOZHAIETFLIANJIEC
73,000089,MSJYGDJXYZC,民生加银高等级信用债C,债券型-长债,MINSHENGJIAYINGAODENGJIXINYONGZHAIC
74,000090,MSJYGDJXYZA,民生加银高等级信用债A,债券型-长债,MINSHENGJIAYINGAODENGJIXINYONGZHAIA
75,000103,GTZGQYJWGSYZ,国泰中国企业境外高收益债,QDII,GUOTAIZHONGGUOQIYEJINGWAIGAOSHOUYIZHAI
76,000104,HCWLWJTLZQA,华宸未来稳健添利债券A,债券型-长债,HUACHENWEILAIWENJIANTIANLIZHAIQUANA
77,000105,JXAXHBZQA,建信安心回报债券A,债券型-长债,JIANXINANXINHUIBAOZHAIQUANA
