,0
0,0.0
1,-0.5
2,1.0
3,21.5
4,3.0
5,-8.5
6,13.5
7,52.5
8,46.5
9,27.5
10,44.0
11,46.5
12,67.5
13,-51.5
14,12.5
15,-55.0
16,-207.0
17,-473.5
18,-883.8982105379437
19,-852.9382735646341
20,-47.9765677193318
21,492.3401937384733
22,141.68564242504
23,-383.19349727682857
24,-482.43535142214023
25,-784.5716629311974
26,-317.0322611799529
27,99.78352623035244
28,-30.33357142683235
29,-41.36044410964314
30,-674.3029361030749
31,-1210.2089484877542
32,-70.97951785195619
33,-654.555378153138
34,-520.5283863136319
35,-57.018372868675215
36,79.80084796748633
37,-302.73452457443636
38,-84.94066283523716
39,-484.22940935709994
40,-291.5656085878072
41,-408.83922644737686
42,-417.2159134373469
43,370.1926636197495
44,498.635197465941
45,1202.276904623348
46,1350.265041446135
47,1026.3664778339953
48,1487.0842622822965
49,1657.4102310783346
50,1696.501437031522
51,1805.3983679011217
52,638.2466472987617
53,1210.6535916133143
54,1850.0740318476237
55,2048.3222906102274
56,1967.3476497071897
57,1537.3443842221131
58,1788.6449939211852
59,1998.0621686704108
60,1676.9558340549302
61,1716.0470400081176
62,2670.9893568645966
63,2710.080562817784
64,3003.264607466699
65,3235.019614189183
66,3207.0973242226173
67,3341.1243160621198
68,3274.1108201423704
69,2799.431890710788
70,3008.8490654600173
71,3003.264607466699
72,2930.666653553635
73,3262.941904155745
74,3369.046606028689
75,3369.046606028689
76,3505.865826864847
77,3801.8421005104283
78,3648.269505694323
79,2528.5856780351205
80,2732.418394791035
81,2885.9909896071367
82,3318.7864840888724
83,3598.00938375451
84,3494.6969108782214
85,3639.8928187043566
86,3031.1868974332683
87,3039.5635844232347
88,2955.796714523549
89,2724.041707801065
90,3190.343950242681
91,3396.9688959952473
92,3405.345582985221
93,3935.8690923499307
94,4307.235548905228
95,5728.480108203319
96,5845.753726062885
97,5499.517330477498
98,5315.230216698179
99,5273.346781748332
100,4488.7304336878915
101,4801.460081313402
102,4899.188096196376
103,4770.745562350185
104,2679.366043854563
105,2704.4961048244695
106,3159.62943127946
107,1277.667087533071
108,1685.3325210448966
109,361.81597662977947
110,305.97139669665194
111,-146.36970076167927
112,428.8294725495325
113,-313.90344056106187
114,-118.44741079511368
115,769.4814101416123
116,364.60820562643494
117,-386.50139447412585
118,-193.83759370483676
119,90.96976395411184
120,-1204.6244904944433
121,-1425.2105812302943
122,-2237.475115223515
123,-1211.0251706437775
124,-1354.8080422580606
125,-595.9539976271262
126,-631.8997155306934
127,-248.47872455928155
128,-564.002248379511
129,-931.4473647271225
130,170.88798431571195
131,482.4175394799822
132,310.67688727403583
133,418.5140409847518
134,1113.4645871204411
135,1277.2173020144837
136,1556.795107931146
137,-699.7971826818903
138,-380.2796902057016
139,-1478.6210705925769
140,-863.5498975759328
141,438.4838842645113
142,670.1340663097435
143,897.7902796990238
144,1269.2293647025872
145,921.7540916347352
146,266.7432320585649
147,302.688949962132
148,194.85179625142337
149,801.9350319561636
150,917.7601229787833
151,530.3451633514123
152,1149.4103050240155
153,1860.3367257835198
154,2575.257115198976
155,2619.190770414447
156,2739.0098300930185
157,2703.064112189444
158,3110.448915096582
159,3417.9845016049076
160,2830.8711091799196
161,3645.640714994188
162,3741.495962737041
163,3461.9181568203785
