,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2021-07-06,1.0,1.0,,封闭期,封闭期,nan
1,2021-07-09,0.993,0.993,,封闭期,封闭期,nan
2,2021-07-16,1.0149,1.0149,,开放申购,开放赎回,nan
3,2021-07-19,0.992,0.992,-2.26,开放申购,开放赎回,nan
4,2021-07-20,0.9819,0.9819,-1.02,开放申购,开放赎回,nan
5,2021-07-21,0.9802,0.9802,-0.17,开放申购,开放赎回,nan
6,2021-07-22,0.9981,0.9981,1.83,开放申购,开放赎回,nan
7,2021-07-23,0.97,0.97,-2.82,开放申购,开放赎回,nan
8,2021-07-26,0.912,0.912,-5.98,开放申购,开放赎回,nan
9,2021-07-27,0.8427,0.8427,-7.6,开放申购,开放赎回,nan
10,2021-07-28,0.8691,0.8691,3.13,开放申购,开放赎回,nan
11,2021-07-29,0.9345,0.9345,7.53,开放申购,开放赎回,nan
12,2021-07-30,0.9084,0.9084,-2.79,开放申购,开放赎回,nan
13,2021-08-02,0.9108,0.9108,0.26,开放申购,开放赎回,nan
14,2021-08-03,0.8974,0.8974,-1.47,开放申购,开放赎回,nan
15,2021-08-04,0.9171,0.9171,2.2,开放申购,开放赎回,nan
16,2021-08-05,0.8992,0.8992,-1.95,开放申购,开放赎回,nan
17,2021-08-06,0.8961,0.8961,-0.34,开放申购,开放赎回,nan
18,2021-08-09,0.8943,0.8943,-0.2,开放申购,开放赎回,nan
19,2021-08-10,0.915,0.915,2.31,开放申购,开放赎回,nan
20,2021-08-11,0.9135,0.9135,-0.16,开放申购,开放赎回,nan
21,2021-08-12,0.9,0.9,-1.48,开放申购,开放赎回,nan
22,2021-08-13,0.8843,0.8843,-1.74,开放申购,开放赎回,nan
23,2021-08-16,0.8618,0.8618,-2.54,开放申购,开放赎回,nan
24,2021-08-17,0.8371,0.8371,-2.87,开放申购,开放赎回,nan
25,2021-08-18,0.8384,0.8384,0.16,开放申购,开放赎回,nan
26,2021-08-19,0.8147,0.8147,-2.83,开放申购,开放赎回,nan
27,2021-08-20,0.7981,0.7981,-2.04,开放申购,开放赎回,nan
28,2021-08-23,0.8115,0.8115,1.68,开放申购,开放赎回,nan
29,2021-08-24,0.8621,0.8621,6.24,开放申购,开放赎回,nan
30,2021-08-25,0.863,0.863,0.1,开放申购,开放赎回,nan
31,2021-08-26,0.848,0.848,-1.74,开放申购,开放赎回,nan
32,2021-08-27,0.8472,0.8472,-0.09,开放申购,开放赎回,nan
33,2021-08-30,0.8539,0.8539,0.79,开放申购,开放赎回,nan
34,2021-08-31,0.8818,0.8818,3.27,开放申购,开放赎回,nan
35,2021-09-01,0.8934,0.8934,1.32,开放申购,开放赎回,nan
36,2021-09-02,0.9057,0.9057,1.38,开放申购,开放赎回,nan
37,2021-09-03,0.8981,0.8981,-0.84,开放申购,开放赎回,nan
38,2021-09-06,0.9033,0.9033,0.58,开放申购,开放赎回,nan
39,2021-09-07,0.9169,0.9169,1.51,开放申购,开放赎回,nan
40,2021-09-08,0.9165,0.9165,-0.04,开放申购,开放赎回,nan
41,2021-09-09,0.8762,0.8762,-4.4,开放申购,开放赎回,nan
42,2021-09-10,0.8984,0.8984,2.53,开放申购,开放赎回,nan
43,2021-09-13,0.8782,0.8782,-2.25,开放申购,开放赎回,nan
44,2021-09-14,0.8663,0.8663,-1.36,开放申购,开放赎回,nan
45,2021-09-15,0.8408,0.8408,-2.94,开放申购,开放赎回,nan
46,2021-09-16,0.8306,0.8306,-1.21,暂停申购,暂停赎回,nan
47,2021-09-17,0.8602,0.8602,3.56,暂停申购,暂停赎回,nan
48,2021-09-22,0.8355,0.8355,-2.87,暂停申购,暂停赎回,nan
49,2021-09-23,0.8434,0.8434,0.95,开放申购,开放赎回,nan
50,2021-09-24,0.824,0.824,-2.3,开放申购,开放赎回,nan
51,2021-09-27,0.8181,0.8181,-0.72,开放申购,开放赎回,nan
52,2021-09-28,0.8332,0.8332,1.85,开放申购,开放赎回,nan
53,2021-09-29,0.8273,0.8273,-0.71,暂停申购,暂停赎回,nan
54,2021-09-30,0.8196,0.8196,-0.93,暂停申购,暂停赎回,nan
55,2021-10-08,0.83,0.83,1.27,开放申购,开放赎回,nan
56,2021-10-11,0.8533,0.8533,2.81,开放申购,开放赎回,nan
57,2021-10-12,0.8272,0.8272,-3.06,开放申购,开放赎回,nan
58,2021-10-13,0.8291,0.8291,0.23,暂停申购,暂停赎回,nan
59,2021-10-14,0.8271,0.8271,-0.24,暂停申购,暂停赎回,nan
60,2021-10-15,0.8415,0.8415,1.74,开放申购,开放赎回,nan
61,2021-10-18,0.8413,0.8413,-0.02,开放申购,开放赎回,nan
62,2021-10-19,0.8659,0.8659,2.92,开放申购,开放赎回,nan
63,2021-10-20,0.8848,0.8848,2.18,开放申购,开放赎回,nan
64,2021-10-21,0.8756,0.8756,-1.04,开放申购,开放赎回,nan
65,2021-10-22,0.8923,0.8923,1.91,开放申购,开放赎回,nan
66,2021-10-25,0.8897,0.8897,-0.29,开放申购,开放赎回,nan
67,2021-10-26,0.8776,0.8776,-1.36,开放申购,开放赎回,nan
68,2021-10-27,0.8506,0.8506,-3.08,开放申购,开放赎回,nan
69,2021-10-28,0.8519,0.8519,0.15,开放申购,开放赎回,nan
70,2021-10-29,0.8426,0.8426,-1.09,开放申购,开放赎回,nan
71,2021-11-01,0.834,0.834,-1.02,开放申购,开放赎回,nan
72,2021-11-02,0.8353,0.8353,0.16,开放申购,开放赎回,nan
73,2021-11-03,0.8315,0.8315,-0.45,开放申购,开放赎回,nan
74,2021-11-04,0.8424,0.8424,1.31,开放申购,开放赎回,nan
75,2021-11-05,0.8304,0.8304,-1.42,开放申购,开放赎回,nan
76,2021-11-08,0.8197,0.8197,-1.29,开放申购,开放赎回,nan
77,2021-11-09,0.822,0.822,0.28,开放申购,开放赎回,nan
78,2021-11-10,0.8385,0.8385,2.01,开放申购,开放赎回,nan
79,2021-11-11,0.855,0.855,1.97,开放申购,开放赎回,nan
80,2021-11-12,0.8668,0.8668,1.38,开放申购,开放赎回,nan
81,2021-11-15,0.869,0.869,0.25,开放申购,开放赎回,nan
82,2021-11-16,0.8836,0.8836,1.68,开放申购,开放赎回,nan
83,2021-11-17,0.8787,0.8787,-0.55,开放申购,开放赎回,nan
84,2021-11-18,0.852,0.852,-3.04,开放申购,开放赎回,nan
85,2021-11-19,0.85,0.85,-0.23,开放申购,开放赎回,nan
86,2021-11-22,0.8457,0.8457,-0.51,开放申购,开放赎回,nan
87,2021-11-23,0.8344,0.8344,-1.34,开放申购,开放赎回,nan
88,2021-11-24,0.83,0.83,-0.53,开放申购,开放赎回,nan
89,2021-11-25,0.8387,0.8387,1.05,开放申购,开放赎回,nan
90,2021-11-26,0.8126,0.8126,-3.11,开放申购,开放赎回,nan
91,2021-11-29,0.8052,0.8052,-0.91,开放申购,开放赎回,nan
92,2021-11-30,0.7956,0.7956,-1.19,开放申购,开放赎回,nan
93,2021-12-01,0.7979,0.7979,0.29,开放申购,开放赎回,nan
94,2021-12-02,0.7935,0.7935,-0.55,开放申购,开放赎回,nan
95,2021-12-03,0.7827,0.7827,-1.36,开放申购,开放赎回,nan
96,2021-12-06,0.7581,0.7581,-3.14,开放申购,开放赎回,nan
97,2021-12-07,0.788,0.788,3.94,开放申购,开放赎回,nan
98,2021-12-08,0.7874,0.7874,-0.08,开放申购,开放赎回,nan
99,2021-12-09,0.8018,0.8018,1.83,开放申购,开放赎回,nan
100,2021-12-10,0.7958,0.7958,-0.75,开放申购,开放赎回,nan
101,2021-12-13,0.7935,0.7935,-0.29,开放申购,开放赎回,nan
102,2021-12-14,0.7759,0.7759,-2.22,开放申购,开放赎回,nan
103,2021-12-15,0.7654,0.7654,-1.35,开放申购,开放赎回,nan
104,2021-12-16,0.7678,0.7678,0.31,开放申购,开放赎回,nan
105,2021-12-17,0.752,0.752,-2.06,开放申购,开放赎回,nan
106,2021-12-20,0.7322,0.7322,-2.63,开放申购,开放赎回,nan
107,2021-12-21,0.7443,0.7443,1.65,开放申购,开放赎回,nan
108,2021-12-22,0.7531,0.7531,1.18,开放申购,开放赎回,nan
109,2021-12-23,0.7468,0.7468,-0.84,开放申购,开放赎回,nan
110,2021-12-24,0.7449,0.7449,-0.25,暂停申购,暂停赎回,nan
111,2021-12-27,0.7448,0.7448,-0.01,暂停申购,暂停赎回,nan
112,2021-12-28,0.739,0.739,-0.78,开放申购,开放赎回,nan
113,2021-12-29,0.7268,0.7268,-1.65,暂停申购,暂停赎回,nan
114,2021-12-30,0.7266,0.7266,-0.03,暂停申购,暂停赎回,nan
115,2021-12-31,0.7523,0.7523,3.54,暂停申购,暂停赎回,nan
116,2022-01-04,0.7413,0.7413,-1.46,开放申购,开放赎回,nan
117,2022-01-05,0.7091,0.7091,-4.34,开放申购,开放赎回,nan
118,2022-01-06,0.7175,0.7175,1.18,开放申购,开放赎回,nan
119,2022-01-07,0.7307,0.7307,1.84,开放申购,开放赎回,nan
120,2022-01-10,0.7453,0.7453,2.0,开放申购,开放赎回,nan
121,2022-01-11,0.7451,0.7451,-0.03,开放申购,开放赎回,nan
122,2022-01-12,0.7802,0.7802,4.71,开放申购,开放赎回,nan
123,2022-01-13,0.766,0.766,-1.82,开放申购,开放赎回,nan
124,2022-01-14,0.7644,0.7644,-0.21,开放申购,开放赎回,nan
125,2022-01-17,0.758,0.758,-0.84,开放申购,开放赎回,nan
126,2022-01-18,0.7534,0.7534,-0.61,开放申购,开放赎回,nan
127,2022-01-19,0.7474,0.7474,-0.8,开放申购,开放赎回,nan
128,2022-01-20,0.7779,0.7779,4.08,开放申购,开放赎回,nan
129,2022-01-21,0.7748,0.7748,-0.4,开放申购,开放赎回,nan
130,2022-01-24,0.753,0.753,-2.81,开放申购,开放赎回,nan
131,2022-01-25,0.7344,0.7344,-2.47,开放申购,开放赎回,nan
132,2022-01-26,0.738,0.738,0.49,开放申购,开放赎回,nan
133,2022-01-27,0.7124,0.7124,-3.47,暂停申购,暂停赎回,nan
134,2022-01-28,0.7044,0.7044,-1.12,暂停申购,暂停赎回,nan
135,2022-02-07,0.7326,0.7326,4.0,开放申购,开放赎回,nan
136,2022-02-08,0.7207,0.7207,-1.62,开放申购,开放赎回,nan
137,2022-02-09,0.7464,0.7464,3.57,开放申购,开放赎回,nan
138,2022-02-10,0.7499,0.7499,0.47,开放申购,开放赎回,nan
139,2022-02-11,0.7414,0.7414,-1.13,开放申购,开放赎回,nan
140,2022-02-14,0.729,0.729,-1.67,开放申购,开放赎回,nan
141,2022-02-15,0.727,0.727,-0.27,开放申购,开放赎回,nan
142,2022-02-16,0.741,0.741,1.93,开放申购,开放赎回,nan
143,2022-02-17,0.7453,0.7453,0.58,开放申购,开放赎回,nan
144,2022-02-18,0.7228,0.7228,-3.02,开放申购,开放赎回,nan
145,2022-02-21,0.7042,0.7042,-2.57,开放申购,开放赎回,nan
146,2022-02-22,0.6927,0.6927,-1.63,开放申购,开放赎回,nan
147,2022-02-23,0.6998,0.6998,1.02,开放申购,开放赎回,nan
148,2022-02-24,0.6705,0.6705,-4.19,开放申购,开放赎回,nan
149,2022-02-25,0.676,0.676,0.82,开放申购,开放赎回,nan
150,2022-02-28,0.6752,0.6752,-0.12,开放申购,开放赎回,nan
151,2022-03-01,0.6775,0.6775,0.34,开放申购,开放赎回,nan
152,2022-03-02,0.6633,0.6633,-2.1,开放申购,开放赎回,nan
153,2022-03-03,0.6527,0.6527,-1.6,开放申购,开放赎回,nan
154,2022-03-04,0.6268,0.6268,-3.97,开放申购,开放赎回,nan
155,2022-03-07,0.6027,0.6027,-3.84,开放申购,开放赎回,nan
156,2022-03-08,0.5823,0.5823,-3.38,开放申购,开放赎回,nan
157,2022-03-09,0.5836,0.5836,0.22,开放申购,开放赎回,nan
158,2022-03-10,0.5883,0.5883,0.81,开放申购,开放赎回,nan
159,2022-03-11,0.566,0.566,-3.79,开放申购,开放赎回,nan
160,2022-03-14,0.5094,0.5094,-10.0,开放申购,开放赎回,nan
161,2022-03-15,0.4726,0.4726,-7.22,开放申购,开放赎回,nan
162,2022-03-16,0.571,0.571,20.82,开放申购,开放赎回,nan
163,2022-03-17,0.609,0.609,6.65,开放申购,开放赎回,nan
164,2022-03-18,0.5984,0.5984,-1.74,开放申购,开放赎回,nan
165,2022-03-21,0.5916,0.5916,-1.14,开放申购,开放赎回,nan
166,2022-03-22,0.6211,0.6211,4.99,开放申购,开放赎回,nan
167,2022-03-23,0.6321,0.6321,1.77,开放申购,开放赎回,nan
168,2022-03-24,0.6153,0.6153,-2.66,开放申购,开放赎回,nan
169,2022-03-25,0.5868,0.5868,-4.63,开放申购,开放赎回,nan
170,2022-03-28,0.601,0.601,2.42,开放申购,开放赎回,nan
171,2022-03-29,0.6144,0.6144,2.23,开放申购,开放赎回,nan
172,2022-03-30,0.6158,0.6158,0.23,开放申购,开放赎回,nan
173,2022-03-31,0.6067,0.6067,-1.48,暂停申购,暂停赎回,nan
174,2022-04-01,0.6023,0.6023,-0.73,暂停申购,暂停赎回,nan
