,0
0,0.0
1,-35.0
2,74.5
3,-40.0
4,-90.5
5,-99.0
6,-9.5
7,-150.0
8,-440.0
9,-1166.434210526315
10,-733.057994978546
11,340.5330844466098
12,-87.91840137902545
13,-48.520563601954564
14,-268.4918245239296
15,54.89876056285357
16,-238.943446191126
17,-289.8323199865081
18,-319.3806983193117
19,20.42565250791813
20,-4.197996102751858
21,-225.81083359876902
22,-483.5383557237692
23,-852.893084883799
24,-1401.6672097426635
25,-1365.0194584258134
26,-2174.476804364873
27,-2843.316481605012
28,-2219.460374417329
29,448.0631068574512
30,495.50917668249895
31,-295.25865373492707
32,-337.43293802385597
33,15.776692895924498
34,1486.604857472339
35,2098.131979661812
36,2746.561600604102
37,2345.9058998592736
38,2620.038747737315
39,3337.0015806491137
40,3315.9144385046457
41,1191.3848674498295
42,2361.721256467623
43,1296.8205781721554
44,669.4780993743334
45,-674.8272123352872
46,-1212.5493370191398
47,347.89918167124415
48,-954.2318457494475
49,-537.7607883962701
50,-1560.4871824028087
51,-1871.522529033653
52,-1075.4829130801154
53,-1386.518259710967
54,-1792.445745991914
55,-1244.1800502358383
56,-15.854020320773998
57,-1391.7900452470858
58,-1291.626120060886
59,-1397.0618307832046
60,-637.9247135824771
61,-648.4682846547075
62,648.3909572298653
63,1644.7584235558243
64,1159.7541542331383
65,2040.1423387645336
66,1903.0759148255165
67,1265.1898649554641
68,-158.19222979590268
69,-89.65901782639412
70,-579.935072685199
71,-1033.3086287911938
72,-964.7754168216779
73,-1165.103267194092
74,-590.4786437574294
75,-1223.0929080913702
76,-1787.1739604558024
77,-1665.9228931251273
78,-796.0782796659623
79,73.76633379320265
80,695.837027054913
81,811.8163088494694
82,1581.4969971224345
83,1323.1795058527423
84,-84.38723229028255
85,-189.82294301260117
86,-416.50972106559493
87,-1012.2214866467257
88,-1244.1800502358383
89,-785.5347085937319
90,-2161.470733520051
91,-2551.5828631926415
92,-3117.2867932887093
93,-2967.299060287907
94,-3281.8044922151385
95,-4121.825300638673
96,-6192.354363631246
97,-3478.5321706126124
98,-3532.990141041082
99,-2225.9988507578673
100,-2770.5785550425353
101,-2979.334108351657
102,-4576.767907586705
103,-5597.445748765138
104,-5348.469879673197
105,-7090.452395824759
106,-9405.092080083632
107,-7907.962353463867
108,-6760.024786233553
109,-7623.670841002808
110,-7896.856466875994
111,-7911.905888749156
112,-8823.708984674595
113,-10824.18361307375
114,-10858.354173444372
115,-6290.586078560707
116,-8245.661916837766
117,-14185.888122527555
118,-12577.033885084616
119,-9956.84830638513
120,-6958.860055766854
121,-6999.928387967113
122,207.56391317685484
123,-2708.2876730409334
124,-3036.834330642945
125,-4351.020961050963
126,-5295.59260165671
127,-6527.642567664239
128,-264.7219071260188
129,-901.2810562298982
130,-5377.7292660572275
131,-9197.084160680504
132,-8433.344377154426
133,-14037.824572201644
134,-15845.372864484612
135,-9273.594776435872
136,-12128.009494099562
137,-5785.134294985299
138,-4921.3186063899775
139,-7019.1567072643375
140,-10079.532289716357
141,-10586.858675752796
142,-6939.28786620748
143,-5818.962546132854
144,-11681.12991861641
145,-16655.85457760052
146,-19813.278139596572
147,-17812.663551450358
148,-26278.06646362887
149,-24647.983489057573
150,-24891.003626940364
151,-24175.288740006043
152,-28698.847263831733
153,-32155.491646469134
154,-40799.85010572523
155,-49035.68867058167
156,-56176.34231438479
157,-55710.13802966676
158,-53984.362924696645
159,-62362.14417028442
160,-84125.92975325597
161,-98637.4448397895
162,-58793.86585594542
163,-43074.36831220798
164,-47546.30869954883
165,-50471.91882796309
166,-37530.609844570456
167,-32616.48443528096
168,-40254.58451673528
169,-53443.670070567634
170,-46751.27081187995
171,-40324.4272659219
172,-39641.57277075958
173,-44154.01461516699
174,-46372.11637170776
175,-41042.99468860257
176,-49268.09781235008
177,-52706.29074955848
178,-68721.45425847312
179,-63804.38877207687
180,-62694.151373102446
181,-60156.75403436727
182,-58496.373174620036
183,-59251.908088044904
184,-71933.37593659438
185,-72352.55363678205
186,-83171.85974887083
187,-79839.38447017246
188,-94182.37488746765
189,-81463.51194580935
190,-75850.28083497728
191,-68325.73762055254
192,-29659.410895495792
193,-51812.69914577645
194,-68401.00397904095
195,-65301.59994894243
196,-76253.81783653802
197,-65017.562071406224
198,-79757.20557198749
199,-59248.641064630065
200,-59321.98102609691
201,-35648.46497786202
202,-40075.6723381108
203,-55781.03188214201
204,-36136.86953317461
205,-51726.859479217965
206,-67724.07383004623
207,-65979.38050101436
208,-65819.00585618959
209,-44659.71216418134
210,-28604.573528599867
211,-17353.180292182486
212,-22482.49191466684
213,-22730.68441252905
214,-2709.8229183158837
215,-3288.9387466608314
216,21116.656876450288
217,14829.113597275806
218,25170.46767486527
219,1757.6420432027662
220,3743.1820260999957
221,16400.999417069368
222,-4198.977905488806
223,6556.03033520421
224,7879.723657135735
225,16483.730249690125
226,-4447.1704033509595
227,7383.338661411428
228,27735.123486107448
229,50320.64079156285
230,53629.87409639149
231,36339.13007866184
232,30713.433460453176
233,28810.62431017682
234,31954.395949763944
235,29141.547640659614
236,24839.54434438236
