,0
0,0.0
1,161.85476815398124
2,295.27559055118127
3,463.6920384951891
4,387.13910761154875
5,411.1986001749792
6,422.13473315835563
7,507.43657042869654
8,452.75590551181085
9,485.5643044619428
10,629.9212598425202
11,634.2957130358709
12,562.1172353455822
13,627.7340332458443
14,691.1636045494315
15,758.9676290463694
16,785.2143482064748
17,636.4829396325467
18,713.0358705161862
19,548.99387576553
20,702.0997375328097
21,918.6351706036749
22,892.3884514435695
23,997.3753280839901
24,1019.2475940507438
25,870.5161854768166
26,877.0778652668414
27,789.5888013998247
28,629.9212598425202
29,573.0533683289596
30,354.3307086614177
31,367.45406824147085
32,317.1478565179359
33,262.4671916010502
34,391.5135608048995
35,306.2117235345586
36,441.81977252843444
37,612.4234470691163
38,728.3464566929142
39,723.9720034995626
40,662.7296587926512
41,721.7847769028876
42,612.4234470691163
43,695.5380577427832
44,752.4059492563429
45,892.3884514435695
46,857.3928258967635
47,1021.4348206474197
48,925.1968503937014
49,971.1286089238847
50,1124.2344706911636
51,1141.7322834645674
52,1259.8425196850403
53,1181.102362204725
54,1342.9571303587054
55,1297.025371828522
56,1373.5783027121615
57,1454.5056867891517
58,1301.399825021872
59,1434.8206474190738
60,1474.1907261592305
61,1399.825021872267
62,1292.6509186351705
63,1397.637795275591
64,1388.8888888888887
65,1432.633420822397
66,1406.3867016622926
67,1535.4330708661419
68,1569.3482591784461
69,1528.4780506242914
70,1528.9816677744147
71,1630.0561534086037
72,1648.0327700858315
73,1577.6493625103312
74,1597.6001812969412
75,1441.268957020292
76,1534.2226579415428
77,1578.8654122948365
78,1434.184111993034
79,1370.1109647165204
80,1506.5247621439357
81,1539.067228416422
82,1441.4692100818484
83,1498.4013874436832
84,1614.2990342159892
85,1626.705267187216
86,1572.1228870120922
87,1605.973579749972
88,1741.235911403991
89,1747.4013970743497
90,1890.2455313258506
91,1934.3313038675703
92,2027.9857502900932
93,2061.766745575325
94,1882.4264104200802
95,1913.0178174821044
96,1960.6675129431069
97,1991.2693881451212
98,1932.836023078391
99,1963.3157646060006
100,2026.686411286033
101,1997.6569507530237
102,1909.1505253802052
103,1940.8916488602256
104,1937.1699911396581
105,1976.661654049157
106,2009.6742486266767
107,2085.9177771590867
108,2244.8909765962326
109,2321.2704033147434
110,2190.346397533006
111,2198.8546622478707
112,1810.6213878388562
113,1842.0943567481204
114,1816.3075689714306
115,1882.2718287272658
116,2019.6157785826153
117,2076.479214963611
118,1679.05336905477
119,1690.2002687263898
120,1726.151515895901
121,1777.7347609044512
122,1745.7567719405242
123,1780.9284537644025
124,1899.0905434559272
125,1886.9474662198538
126,2024.6547586954057
127,1969.909699875341
128,1860.1473423969892
129,1862.3357510351032
130,1770.4078690588403
131,1718.5355089125235
132,1634.4507700279746
133,1640.5434046080984
134,1703.0194257457833
135,1715.9685555466463
136,1537.7697793649077
137,1523.9263905034086
138,1621.0527233420917
139,1626.6953732990257
140,1675.9522764702278
141,1671.0060326636262
142,1807.5855838997077
143,1849.0940756740547
