,净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
0,2020-02-03,2.286,2.425,-4.31,开放申购,开放赎回,nan
1,2020-02-04,2.36,2.499,3.24,开放申购,开放赎回,nan
2,2020-02-05,2.421,2.56,2.58,开放申购,开放赎回,nan
3,2020-02-06,2.498,2.637,3.18,开放申购,开放赎回,nan
4,2020-02-07,2.463,2.602,-1.4,开放申购,开放赎回,nan
5,2020-02-10,2.474,2.613,0.45,开放申购,开放赎回,nan
6,2020-02-11,2.479,2.618,0.2,开放申购,开放赎回,nan
7,2020-02-12,2.518,2.657,1.57,开放申购,开放赎回,nan
8,2020-02-13,2.493,2.632,-0.99,开放申购,开放赎回,nan
9,2020-02-14,2.508,2.647,0.6,开放申购,开放赎回,nan
10,2020-02-17,2.574,2.713,2.63,开放申购,开放赎回,nan
11,2020-02-18,2.576,2.715,0.08,开放申购,开放赎回,nan
12,2020-02-19,2.543,2.682,-1.28,开放申购,开放赎回,nan
13,2020-02-20,2.573,2.712,1.18,开放申购,开放赎回,nan
14,2020-02-21,2.602,2.741,1.13,开放申购,开放赎回,nan
15,2020-02-24,2.633,2.772,1.19,开放申购,开放赎回,nan
16,2020-02-25,2.645,2.784,0.46,开放申购,开放赎回,nan
17,2020-02-26,2.577,2.716,-2.57,开放申购,开放赎回,nan
18,2020-02-27,2.612,2.751,1.36,开放申购,开放赎回,nan
19,2020-02-28,2.537,2.676,-2.87,开放申购,开放赎回,nan
20,2020-03-02,2.607,2.746,2.76,开放申购,开放赎回,nan
21,2020-03-03,2.706,2.845,3.8,开放申购,开放赎回,nan
22,2020-03-04,2.694,2.833,-0.44,开放申购,开放赎回,nan
23,2020-03-05,2.742,2.881,1.78,开放申购,开放赎回,nan
24,2020-03-06,2.752,2.891,0.36,开放申购,开放赎回,nan
25,2020-03-09,2.684,2.823,-2.47,开放申购,开放赎回,nan
26,2020-03-10,2.687,2.826,0.11,开放申购,开放赎回,nan
27,2020-03-11,2.647,2.786,-1.49,开放申购,开放赎回,nan
28,2020-03-12,2.574,2.713,-2.76,开放申购,开放赎回,nan
29,2020-03-13,2.548,2.687,-1.01,开放申购,开放赎回,nan
30,2020-03-16,2.448,2.587,-3.92,开放申购,开放赎回,nan
31,2020-03-17,2.454,2.593,0.25,开放申购,开放赎回,nan
32,2020-03-18,2.431,2.57,-0.94,开放申购,开放赎回,nan
33,2020-03-19,2.406,2.545,-1.03,开放申购,开放赎回,nan
34,2020-03-20,2.465,2.604,2.45,开放申购,开放赎回,nan
35,2020-03-23,2.426,2.565,-1.58,开放申购,开放赎回,nan
36,2020-03-24,2.488,2.627,2.56,开放申购,开放赎回,nan
37,2020-03-25,2.566,2.705,3.14,开放申购,开放赎回,nan
38,2020-03-26,2.619,2.758,2.07,开放申购,开放赎回,nan
39,2020-03-27,2.617,2.756,-0.08,开放申购,开放赎回,nan
40,2020-03-30,2.589,2.728,-1.07,开放申购,开放赎回,nan
41,2020-03-31,2.616,2.755,1.04,开放申购,开放赎回,nan
42,2020-04-01,2.566,2.705,-1.91,开放申购,开放赎回,nan
43,2020-04-02,2.604,2.743,1.48,开放申购,开放赎回,nan
44,2020-04-03,2.63,2.769,1.0,开放申购,开放赎回,nan
45,2020-04-07,2.694,2.833,2.43,开放申购,开放赎回,nan
46,2020-04-08,2.678,2.817,-0.59,开放申购,开放赎回,nan
47,2020-04-09,2.753,2.892,2.8,开放申购,开放赎回,nan
48,2020-04-10,2.709,2.848,-1.6,开放申购,开放赎回,nan
49,2020-04-13,2.73,2.869,0.78,开放申购,开放赎回,nan
50,2020-04-14,2.8,2.939,2.56,开放申购,开放赎回,nan
51,2020-04-15,2.808,2.947,0.29,开放申购,开放赎回,nan
52,2020-04-16,2.862,3.001,1.92,开放申购,开放赎回,nan
53,2020-04-17,2.826,2.965,-1.26,开放申购,开放赎回,nan
54,2020-04-20,2.9,3.039,2.62,开放申购,开放赎回,nan
55,2020-04-21,2.879,3.018,-0.72,开放申购,开放赎回,nan
56,2020-04-22,2.914,3.053,1.22,开放申购,开放赎回,nan
57,2020-04-23,2.951,3.09,1.27,开放申购,开放赎回,nan
58,2020-04-24,2.881,3.02,-2.37,开放申购,开放赎回,nan
59,2020-04-27,2.942,3.081,2.12,开放申购,开放赎回,nan
60,2020-04-28,2.96,3.099,0.61,开放申购,开放赎回,nan
